==============================================================================================================
PIPELINE SCORES (Embedding + Reranker) BY GRANULARITY
==============================================================================================================
Query ID   Granularity            E-base+R-base          E-base+R-ft          E-ft+R-base            E-ft+R-ft
--------------------------------------------------------------------------------------------------------------
1          Granularity1                0.296473             0.427523             0.070840             0.070840
1          Granularity2                0.325641             0.491900             0.321951             0.488209
1          Granularity3                0.710498             0.586022             0.070419             0.070419
1          Granularity4                0.064897             0.064897             0.904249             0.967598
1          Granularity5                0.065992             0.065992             1.000000             0.300000
1          Granularity6                0.047271             0.047271             0.056596             0.056596

2          Granularity1                0.058751             0.058751             0.066290             0.066290
2          Granularity2                0.154333             0.736776             0.067212             0.067212
2          Granularity3                0.060090             0.060090             0.184039             0.119889
2          Granularity4                0.061389             0.061389             0.067434             0.067434
2          Granularity5                0.983188             0.812196             0.791695             0.620702
2          Granularity6                0.457772             1.000000             0.457772             1.000000

3          Granularity1                0.058125             0.058125             0.065684             0.065684
3          Granularity2                0.059034             0.059034             0.065596             0.065596
3          Granularity3                0.062617             0.062617             0.797997             0.881240
3          Granularity4                0.164570             0.704060             0.066471             0.066471
3          Granularity5                0.852181             0.419697             0.957037             0.524553
3          Granularity6                0.534595             0.300000             0.534595             0.300000

4          Granularity1                0.176525             0.438461             0.264156             0.526091
4          Granularity2                0.053911             0.053911             0.071784             0.071784
4          Granularity3                0.053654             0.053654             0.706029             0.662286
4          Granularity4                0.768171             0.715626             0.822222             0.769677
4          Granularity5                1.000000             0.494194             0.072083             0.072083
4          Granularity6                0.043483             0.043483             0.059584             0.059584

5          Granularity1                0.244403             0.944403             0.269278             0.969278
5          Granularity2                0.823940             0.687972             0.861353             0.725385
5          Granularity3                0.052561             0.052561             0.058964             0.058964
5          Granularity4                0.057308             0.057308             0.062632             0.062632
5          Granularity5                0.059359             0.059359             0.064639             0.064639
5          Granularity6                0.469082             0.300000             0.328789             0.159707

6          Granularity1                0.288934             0.278739             0.257980             0.247786
6          Granularity2                0.300000             0.300000             0.300000             0.300000
6          Granularity3                0.063537             0.063537             0.768496             0.791051
6          Granularity4                0.060181             0.060181             0.064647             0.064647
6          Granularity5                0.828324             0.425895             0.069190             0.069190
6          Granularity6                0.057342             0.057342             0.056935             0.056935

7          Granularity1                0.069207             0.069207             0.068818             0.068818
7          Granularity2                0.731743             0.947525             0.699570             0.915352
7          Granularity3                0.793455             0.973036             0.070118             0.070118
7          Granularity4                0.068716             0.068716             0.950109             0.747886
7          Granularity5                0.300000             0.300000             0.300000             0.300000
7          Granularity6                0.052280             0.052280             0.051212             0.051212

8          Granularity1                0.674315             0.171010             0.597934             0.094628
8          Granularity2                0.068472             0.068472             0.075285             0.075285
8          Granularity3                0.719973             0.719973             0.077062             0.077062
8          Granularity4                0.068451             0.068451             0.077358             0.416843
8          Granularity5                0.067987             0.067987             0.077407             0.077407
8          Granularity6                0.751240             0.912500             0.751240             0.912500

9          Granularity1                0.070438             0.070438             0.077296             0.077296
9          Granularity2                0.074143             0.074143             0.076597             0.076597
9          Granularity3                0.658132             0.196569             0.656064             0.194502
9          Granularity4                0.991250             0.435294             0.991250             0.435294
9          Granularity5                0.288442             0.741383             0.297996             0.750938
9          Granularity6                0.072024             0.072024             0.073261             0.073261

10         Granularity1                0.047675             0.047675             0.058410             0.058410
10         Granularity2                0.700575             0.118057             0.060781             0.060781
10         Granularity3                0.049528             0.049528             0.588466             0.781822
10         Granularity4                0.648170             0.922296             0.684366             0.958492
10         Granularity5                0.047338             0.047338             0.058846             0.058846
10         Granularity6                0.931469             0.761364             0.931469             0.761364
